Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1040,FRHC,Financial Services,Financial Conglomerates,NASDAQ,110.01,82,76,55,68,172.08,10491795031.149689,63787666.0,0.0431,-2.86,81060,115866,103880,0.278
1041,NMR,Financial Services,Capital Markets,NYSE,110.0,82,82,67,71,10.06,29430497496.885796,2922591697.0,0.0005,-8.04,751700,711540,763216,0.312
1042,SMBK,Financial Services,Banks - Regional,NYSE,110.0,82,83,79,74,50.32,883820045.8888206,17098473.0,0.0248,-7.06,128880,108486,123782,0.164
1043,FNWD,Financial Services,Banks - Regional,NASDAQ,110.0,82,80,61,68,43.24,184499233.09396362,4333002.0,0.0293,-5.8,13059,11819,18745,0.024
1044,NGNE,Healthcare,Biotechnology,NASDAQ,109.99,82,93,91,81,28.31,642165251.4334946,20011382.0,0.1859,-35.16,453470,294636,252898,
1045,GEF,Consumer Cyclical,Packaging & Containers,NYSE,109.98,82,84,64,62,82.66,4701911261.553955,56848160.0,1.05,-8.73,410050,329930,311542,0.035
1046,ACRV,Healthcare,Biotechnology,NASDAQ,109.96,82,85,57,31,2.1,79278720.72170377,42853362.0,0.0397,-41.01,405550,377456,338060,
1047,UAN,Basic Materials,Agricultural Inputs,NYSE,109.95,82,84,65,89,122.7,1415380263.2871704,10569638.0,0.045500003,-12.04,27170,37473,40014,0.2
1048,WLY,Communication Services,Publishing,NYSE,109.94,82,90,79,65,48.61,2437896955.6624603,50683930.0,0.1528,-15.39,512457,532317,489938,-0.026
1049,RBCAA,Financial Services,Banks - Regional,NASDAQ,109.88,82,81,79,62,94.55,1842468657.9375916,19634151.0,0.0465,-7.5,120520,107423,110962,0.044
1050,WEAV,Healthcare,Health Information Services,NYSE,109.87,82,74,53,15,7.35,583299877.2377195,80013701.0,0.0784,-5.89,1827220,4492086,3191320,0.155
1051,KMDA,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,109.86,82,66,36,77,8.72,510736221.26473427,57710305.0,0.005,-6.74,141260,171143,131220,0.227
