Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
3500,FURY,Basic Materials,Gold,NYSE ARCA,89.01,41,49,30,70,0.56,111607600.82221448,190132195.0,0.0025,-45.1,255920,320973,245306,
3501,FULTP,Financial Services,Banks - Regional,NASDAQ,88.99,41,31,39,51,17.82,,,0.25,-14.45,5673,9924,11662,0.137
3502,EVN,Financial Services,Asset Management,NYSE,88.98,41,52,58,47,10.28,415996370.9658737,39922876.0,2.09,-8.7,69966,68078,73705,0.059
3503,WEA,Financial Services,Asset Management,NYSE,88.98,41,43,47,46,10.09,122690305.81054688,11865600.0,0.75,-11.8,55718,37292,31967,0.024
3504,EPAM,Technology,Information Technology Services,NYSE,88.97,41,16,6,20,117.17,6082621118.627167,51586981.0,0.2043,-47.35,1161220,1330823,1486508,0.045
3505,BOOM,Industrials,Conglomerates,NASDAQ,88.96,41,49,69,16,6.24,130640438.38251257,20540949.0,0.0108,-32.17,78290,102143,157556,0.009
3506,XOS,Industrials,Farm & Heavy Construction Machinery,NASDAQ,88.91,41,96,86,24,2.51,38530379.46236801,14217852.0,0.0986,-69.65,206890,5881956,3579330,-0.742
3507,NRO,Financial Services,Asset Management,NYSE ARCA,88.91,41,49,53,40,2.72,178046747.10440683,63361833.0,0.33,-18.56,199437,185542,225583,0.285
3508,JWEL,Consumer Cyclical,Internet Retail,NASDAQ,88.9,40,80,58,78,2.25,5322533.462660551,2376131.0,0.024600001,-56.48,66340,2954706,1773452,0.878
3509,SRTS,Healthcare,Medical Devices,NASDAQ,88.9,40,21,15,63,3.07,51855487.41994429,16462059.0,0.0146,-44.08,19280,37156,30686,-0.687
3510,PAXS,Financial Services,Asset Management,NYSE,88.9,40,39,41,40,13.44,646925452.5909424,47152000.0,0.2,-18.84,353134,255464,223582,
