Rank,Industry,Sector,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Tickers
54,Other Precious Metals & Mining,Basic Materials,93.59,62,39,70,90,"MTA,HL,ASM,BVN,SBSW,VOXR,TFPM,MUX,SLSR,PPTA,ITRG,VMET,LODE,PLG,GMTL,GRML"
55,Insurance - Diversified,Financial Services,93.57,62,51,39,50,"PLGO,SLF,AEG,IGIC,HIG,ACGL,XZO,AIG,ACGLN,ACGLO,BNT,WDH"
56,Shell Companies,Financial Services,93.49,61,40,37,58,"RFAIU,RFAI,RIBBU,CCXIU,FVNNU,HVIIU,CCXI,TDACU,NOEMU,RDACU,DAAQU,NTWOU,ASPCU,RIBB,EURKU,HLXC,PONOU,FSHP,UYSC,UYSCU,EURK,SVAQU,QSEAU,BKHA,ATIIU,RANGU,NTWO,CHAR,YHNA,NOEM,MACIU,BEAGU,SVIVU,CAPN,QETAU,WTG,LPAAU,TDAC,DBCAU,GIWWU,DMAA,DTSQ,RANG,TACOU,ILLUU,QSEA,SIMA,CCAQ,MACI,AEXA,CAPNU,LKSPU,MKLYU,ARCIU,FSHPU,RNGTU,BACC,TACHU,DYNC,ALIS,LCCC,QETA,XCBEU,GSRFU,PGAC,SDHI,EVAC,KFII,OACCU,NMP,DTSQU,SPEG,WLIIU,APAC,COPL,SORNU,SSEAU,QUMS,AXINU,CHPG,XRPN,GTERA,IBAC,JACS,LPBB,SOUL,ALDF,CEPO,KCHV,SVCC,APACU,GTEN,HVMCU,ASPC,HAVA,MKLY,NPACU,TAVI,GSHR,SOCA,INAC,JENA,LWAC,SZZL,GPAT,HVII,GTENU,YCY,DRDB,CRAQ,DSACU,ALDFU,OBA,FERA,TMTSU,TACO,SBXD,XRPNU,IEAG,TLNCU,ARCI,CHARU,EGHA,WENN,SSEA,CRAC,FVAV,TACH,TVACU,CHEC,GPATU,KTWOU,MMTX,WSTN,KOYN,PACH,BLRKU,LKSP,DMII,GSHRU,SUMAU,BIXIU,EMIS,MESHU,RAC,CRANU,SSACU,LCCCU,NPAC,OYSE,TVAI,BIXI,KTWO,SOCAU,TVAIU,GIX,DAAQ,GIW,IRHOU,QUMSU,SSAC,FIGX,LAFA,NBRGU,OTGAU,VNME,FERAU,APXT,LPBBU,DSAC,ALF,PACHU,ADACU,CEPS,OBAWU,RDAG,TONT,EVOX,PAII,HCMA,OACC,AIIA,ADAC,PLMK,TDWD,TVA,BLRK,CRAN,IPXG,NBRG,SDHIU,GTERU,XSLL,TWLV,BLZRU,LWACU,PTORU,SCII,AXIN,HCMAU,CHPGU,BCSS,GSRF,LATA,MBVI,AEAQ,RNGT,SZZLU,YHNAU,CUB,DMIIU,HVMC,IEAGU,ORIQ,ALISU,APXTU,BHAVU,DYOR,GPAC,MESH,OTGA,SVIV,KBONU,PCAP,FIGXU,MEVO,BEAG,CTAAU,BDCIU,TLNC,LAFAU,LFAC,MBVIU,GPACU,SCPQU,VHCP,WSTNU,CEPV,HCACU,LFACU,SVAQ,AEAQU,IRHO,KRSP,DBCA,EVOXU,MLAA,BACCU,KOYNU,MCGA,BLUW,VHCPU,VNMEU,ALOV,SCIIU,ITHA,BLZR,RFAM,SBXE,BIII,SORN,ZKP,ALUB,HCAC,SAC,FGII,HAVAU,IRAB,PAACU,PTOR,CHECU,IGAC,LPCV,POLE,OIMAU,XCBE,DNMX,IACOU,SCPQ,ARTCU,FCRS,GIXXU,TWLVU,BDCI,DYORU,OYSEU,PMTRU,OIM,CCIIU,KRAQ,SPEGU,PCAPU,ONCH,INACU,WENNU,XFLH,UAC,IGACU,DYNCU,LPAA,CRACU,ITHAU,NMPAU,ACAAU,HCICU,CAQUU,LEGO,CEPF,LPCVU,PMTR,EGHAU,MEVOU,SVCCU,CCII,ORIQU,RFAMU,KRAQU,ONCHU,HACQU,ATII,TRGSU,ZKPU,TDWDU,XSLLU,ALOVU,KCHVU,AACOU,MMTXU,FGIIU,DNMXU,AACIU,KBON,RDAGU,VLOS,BEBE,PALOU,WTGUU,WPAC,LATAU,MUZEU,SAAQ,MCGAU,NWAX,RTAC,BSAA,DMAAU,FACTU,TAVIU,MLAAU,BLUWU,CCAQU,SAAQU,CRAQU,POLEU,RTACU,CUBWU,SPKLU,SPKL,DRDBU,KFIIU,PLMKU,SIMAU,BKHAU,PGACU,ALFUU,FVN,COLAU,VLOSU,BSAAU,IPEX,COLA,RDAC,IPEXU,VACI,AFJKU,AFJK"
57,Drug Manufacturers - General,Healthcare,93.23,60,58,41,52,"OGN,MRK,JNJ,BMY,BIIB,AMGN,GILD,ABBV,LLY,PFE,NVO,GSK,NVS,SNY,GRFS,AMRN,AZN,NSRX,SCLX,MIRA,MDCX"
58,REIT - Retail,Real Estate,93.07,60,65,64,70,"WHLRP,CBL,CURB,MAC,GTY,ALX,SPG,FRT,PINE,NTST,KRG,PECO,NNN,KIM,IVT,SKT,REG,REGCO,FCPT,REGCP,BRX,O,AKR,UE,WHLRD,ADC,BFS,EPRT,SITC,WHLR"
59,Lodging,Consumer Cyclical,93.01,59,53,76,79,"INTG,CVEO,IHG,MAR,HLT,HTHT,H,CHH,ATAT,WH,GHG"
60,Coking Coal,Basic Materials,92.51,58,15,74,81,"SXC,HCC,AMR,METC,METCB"
61,Food Distribution,Consumer Defensive,92.49,58,46,51,60,"CHEF,ANDE,MTEX,UNFI,USFD,AVO,SYY,PFGC,DIT,HFFG,TWG"
62,Utilities - Diversified,Utilities,92.29,57,44,52,76,"UTL,AES,BIP,AVA,SRE,AQN"
63,Insurance - Specialty,Financial Services,91.93,56,38,22,34,"ITIC,ACT,NMIH,EIG,MTG,ESNT,FAF,RDN,AXS,AGO,FNF,OSG,JRVR,AMSF,MBI"
64,Drug Manufacturers - Specialty & Generic,Healthcare,91.78,55,52,38,62,"ETON,AMLX,CPIX,CRDL,ANIK,TKNO,KNSA,BFRI,LQDA,IRWD,TRLV,ALKS,TLPH,LNTH,AMRX,ZYBT,TEVA,VTRS,TXMD,EOLS,CRON,UPC,PRGO,TAK,XERS,CABR,KMDA,ALVO,AQST,AMPH,INDV,BHC,ELAN,NBIX,INCR,PCRX,HCM,UTHR,BCRX,ACB,DERM,PAHC,HLN,INM,CTOR,RMTI,GLAS,HROW,SUPN,AYTU,SCYX,ANIP,HIMS,PBH,RDY,CGC,CPHI,OGI,BIOA,AKBA,ZTS,SNOA,YCBD,EBS,GELS,IXHL,LFCR,EVO,RDHL,TLRY,COLL,ADCT,SIGA,ORGO,SHPH,BGM,PRFX,RGC,AKAN,SBFM,APUS,IMCC,SXTC"
65,Health Information Services,Healthcare,91.7,55,46,17,5,"AMWL,SOPH,HTFL,HNGE,BTSGU,BTSG,VEEV,NRC,OMDA,WEAV,CTEV,SDGR,GDRX,CARL,SLP,HSTM,CERT,HQY,LFMDP,TEM,SY,OPRX,WAY,EVH,SPOK,PRVA,TDOC,DOCS,OMCL,HCAT,ONMD,PHR,DH,DRIO,CCLD,MGRX,LFMD,BFRG,ACON,BEAT,MNDR,HCTI,ZCMD"
66,Software - Infrastructure,Technology,91.5,54,62,48,42,"NUAI,PAYS,BAND,AGPU,BLZE,DOCN,OKTA,TGHL,USIO,TWLO,RXT,FTNT,ZETA,CRWD,PANW,FATN,HQ,GTLB,BB,GCT,FIVN,NTAP,NET,PAY,QLYS,VRNS,MOVE,S,NTNX,KSPI,AIFA,FLYW,RELY,SABR,BNAI,NTSK,OSPN,WEX,CPAY,DBX,TENB,CCSI,RBRK,FFIV,BOX,KPLT,APPN,GEN,VIVO,PAYO,RAMP,YEXT,XYZ,DLO,ARQQ,NTCT,ACIW,PGY,MSFT,PATH,RPD,BRUN,PRGS,MDB,PAYP,VRSN,PAGS,PLTR,WIX,TOST,IOT,ATEN,SAIL,AVPT,AKAM,RDWR,EVTC,GDDY,BTLN,RPAY,ORIO,ZS,LSAK,SWMR,TDC,EEFT,ALLT,PRTH,BLSH,CRWV,INFQ,TLS,MQ,IMXI,DOX,CGNT,SNPS,GRRR,CORZ,AI,PDYN,FOUR,CHKP,STNE,AEVA,SANG,BLIN,NYAX,BKKT,INTZ,XNET,NN,TUYA,PSFE,RZLV,CLBT,ORCL,MBAI,AZIO,PICS,VHC,XBP,CALX,SKYA,GOAI,ZENA,TCX,OWLS,IIIV,BIRD,DAVA,CINT,LIDR,MLGO,EXOD,SUPX,AIB,AISP,DTSS,BTQ,CISO,KDK,QNC,CHOW,AIXC,REKR,AVX,RKTO,AIFC,OLB,TAOP,DVLT,SLMT,XLAB,VERI,ATGL,CETX,OBAI,CSAI,ZSQR,AUID,HPAI,ALAR,LHSW,HUBC,WETO,YYAI"
67,Entertainment,Communication Services,91.34,53,58,44,37,"RDI,RDIB,STRZ,MCS,SPHR,ROKU,MSGS,AMCX,IMAX,MSGE,WBD,ANGX,CNK,AMC,SIRI,NWSA,BATRA,NWS,BATRK,MANU,LYV,FWONK,FWONA,FOXA,DIS,FOX,LLYVK,LLYVA,RSVR,WMG,TKO,ANGH,VSNT,PSKY,AENT,CNVS,NFLX,LFS,TOON,HUYA,IQ,NIPG,PLAY,GAIA,MPU,KUST,ZNB,CPOP"
68,Consulting Services,Industrials,91.08,53,82,16,23,"ROMA,RYOJ,FORR,AERT,SBC,EFTY,ACCL,HURN,LAWR,ICFI,PPHC,CRAI,FCN,BAH,EFX,RGP,VRSK,GRNQ,DGNX,EGG,FOFO,INTJ,ZTG,VCIG"
69,Telecom Services,Communication Services,90.98,52,44,57,69,"ATEX,IRDM,PCLA,LILA,LILAK,TIGO,GSAT,ATNI,VEON,SKM,VOD,IDT,TEO,VZ,KYIV,ELWT,CHT,AD,SIFY,T,KVHI,KT,LBTYB,PHI,AMX,BCE,RCI,CMCSA,VIV,GLIBA,TDS,GLIBK,LUMN,TLK,LBTYA,TKC,LBTYK,ECHO,TMUS,TIMB,SHEN,TV,CXDO,RDCM,IOTR,CHTR,TU,OPTU,NIXX,GOGO,IQST,CCOI,CABO,UCL,SURG,FNGR"
70,Business Equipment & Supplies,Industrials,90.87,51,48,31,7,"XRX,ACCO,ACTG,CXT,EHGO"
71,Utilities - Regulated Gas,Utilities,90.54,51,37,47,79,"UGI,BKH,NJR,NWN,CPK,SWX,SR,OGS,MDU,ATO,RGCO,NI,SPH,BIPC,CTRI"
72,Metal Fabrication,Industrials,90.49,50,76,87,62,"ATI,AP,TPCS,PRLB,CRS,MLI,WOR,RYZ,TRSG,CMC,IIIN,TG,HIHO,MEC,GPGI,ESAB,MTEN,OLOX"
73,Beverages - Brewers,Consumer Defensive,90.45,49,32,45,63,"BUD,FMX,ABEV,CCU,TAP,STZ,SAM"
74,Utilities - Regulated Electric,Utilities,90.25,48,36,46,75,"ELPC,GNE,CIG,NWE,ETR,D,EVRG,ED,CEPU,OGE,PNW,FTS,ES,AEP,POR,NEE,IDA,FE,TXNM,AEE,EMA,MGEE,XEL,LNT,DUK,NGG,PPL,EXC,CNP,DTE,SO,WEC,EDN,SOMN,CMS,PPLC,PEG,NKLR,EIX,PCG,KEP,HE,IMSR"
75,REIT - Specialty,Real Estate,90.23,48,51,55,61,"UNIT,OUT,EQIX,EPR,LAMR,IRM,DLR,LANDO,LANDP,FPI,LAND,SELF,RYN,AMT,SBAC,WY,GLPI,CCI,PW,FRMI"
76,Credit Services,Financial Services,90.0,47,53,30,19,"ECPG,PMTS,ENVA,OPRT,EZPW,BFH,ATLC,SEZL,AGM,FCFS,MFIN,WRLD,JCAP,CACC,PRAA,V,TROO,OMF,MA,PYPL,SLM,CPSS,COF,AFRM,ATLCP,SYF,GDOT,ALLY,SLMBP,NAVI,AXP,NNI,XYF,JF,RM,WU,SOFI,VRM,OPFI,HTT,FOA,SNTG,UPST,KLAR,FINV,LU,SUIG,QFIN,ANTA,YRD,DXF,LX,JFIN"
77,Restaurants,Consumer Cyclical,89.4,46,65,23,21,"NDLS,RRGB,CAKE,HCHL,BJRI,BDL,EAT,CBRL,BTBD,BLMN,LOCO,BH,GTIM,QSR,TXRH,CMG,SBUX,RICK,DRI,CNNE,ARCO,HWH,JACK,WEN,NATH,CHA,YUM,RAVE,DIN,YUMC,SG,DPZ,MCD,SHAK,GENK,PTLO,FWRG,STKS,HDL,ARKR,KRUS,CAVA,BRCB,BROS,THCH,MB,PZZA,WING,REBN,VENU,CHSN,CCHH"
78,Household & Personal Products,Consumer Defensive,89.35,46,45,18,4,"HNST,ACU,EPC,NWL,ELF,SPB,IPAR,HELE,UG,EL,CL,COTY,KVUE,CHD,UL,PG,KMB,MAGN,ODD,CLX,GROV,DSY,WALD,SKIN,NUS,TANH,YSG,SLSN,BYAH"
79,REIT - Residential,Real Estate,88.61,45,32,32,36,"JAN,UMH,CLPR,ESS,VMRK,MRP,AMH,INVH,CSR,BRT,ELS,CPT,UDR,MAA,IRT,SUI,BHM,AIV,NXRT,ELME"
80,Agricultural Inputs,Basic Materials,88.46,44,10,11,39,"UAN,CF,NTR,IPI,CTVA,ICL,MOS,SMG,SEED,FMC,BIOX,AVD,NXTS"
81,Travel Services,Consumer Cyclical,87.7,44,69,37,34,"LIND,ABNB,GBTG,EXPE,PRSU,VIK,TNL,BKNG,MMYT,RCL,YTRA,TOUR,CCL,NCLH,TRIP,TCOM,AHMA,NTRP"
82,Scientific & Technical Instruments,Technology,87.35,43,57,88,55,"MLAB,COHR,ASTC,MKSI,KEYS,CGNX,VPG,GRMN,ACFN,ITRN,NOVTU,ST,NOVT,ESE,LGL,ITRI,TDY,SOTK,WRAP,USBC,FTV,VNT,TRMB,ODYS,BMI,GNSS,ARBE,FCUV,AIMD,MIND,SVRE,SOBR,ARAI,MVIS"
83,Chemicals,Basic Materials,87.1,42,42,63,92,"MEOH,VHI,GPRE,REX,RYAM,LXU,DOW,WLKP,CE,ASIX,HUN,TROX,OLN,NPT,GURE,BAK"
84,Apparel Manufacturing,Consumer Cyclical,86.97,41,71,79,68,"VNCE,JRSH,FIGS,JXG,SGC,ZGN,COLM,RL,UA,LEVI,PVH,GIII,UAA,KTB,NCI,JL,OXM,GIL,LAKE,VFC,PLBY,GOOS,XELB,PLCE"
85,Footwear & Accessories,Consumer Cyclical,86.84,41,79,69,72,"WEYS,RCKY,FOSL,CROX,FWDI,SHOO,VRA,WWW,DBI,DECK,BIRK,NKE,ONON,FMFC"
86,Security & Protection Services,Industrials,86.82,40,34,21,39,"CXW,CIX,GEO,MG,NL,MSA,BRC,SPCB,ALLE,BCO,ADT,NSSC,VRME,EVLV,IVDA,GFAI,SNT,BAER,BKYI,SUGP"
87,Software - Application,Technology,86.74,39,37,16,9,"BVC,WCT,APPS,RNG,SMWB,EXFY,PUBM,TEAM,FSLY,DHX,OOMA,CHYM,DAVE,CURR,IBTA,SNOW,AMPL,FROG,NXPL,PAYC,RDVT,RTB,U,PD,MITK,PDFS,KARO,DDOG,MYSE,ADEA,INTA,NAVN,MANH,IDAI,SPT,PLTS,ESTC,VIA,RSKD,MTLS,DJCO,YAAS,DOCU,BULL,DT,CRM,GRND,SVCO,BILL,NCNO,FRSH,WDAY,CCC,RYDE,WK,PCTY,PERF,ADP,RMNI,SPSC,DSP,IMMR,DCBO,AGYS,IDCC,ALRM,PAYX,BLKB,NATL,QTWO,ZM,DFIN,CVLT,PLUS,MNTN,WLTH,STRC,APPF,STRF,STRD,SSNC,SAP,ALKT,NOW,NTWK,BRZE,STRK,ROP,DUOL,YOU,HKD,API,SHOP,JG,IPM,MRT,PHUN,ASUR,PCOR,UPBD,LYFT,KLTR,LSPD,CMRC,ASAN,AEYE,EGHT,IFBD,AZ,BTDR,UBER,NICE,VTEX,ADBE,MNDO,TYL,CREX,DBD,GWRE,OTEX,XPER,DUOT,PAR,DSGX,LAW,YALA,PTC,CXM,RDZN,HUBS,MNDY,ADSK,PEGA,YMM,CRNC,RSSS,TONX,BSY,GTM,MFI,KVYO,CDNS,MSTR,FIG,BLIV,SMRT,ATHR,VERX,JTAI,DOMO,KC,INTU,BL,WRD,YB,VS,LIF,FRMM,ORKT,GRAB,INLX,TRAK,FICO,AWRE,SOUN,VTSI,SMSI,SCOR,RBBN,AIOT,HIT,SSTI,BMR,PDC,TTAN,HOLO,BLND,EVCM,CRGO,NVNI,EGAN,SRAD,AMST,AIFF,ALIT,NRDY,IDN,DMRC,TGL,GLOO,PSQH,YXT,THRY,KNRX,CYN,RMSG,HTCR,SAGT,AIXI,FUSE,UPLD,MASK,AUUD,BZAI,INUV,ILLR,RPGL,RCT,CXAI,AMOD,FRGT,PARA,BIYA,AMZE,YMT,FTFT,NTCL,HODO,NXTT,LGCL"
88,Other Industrial Metals & Mining,Basic Materials,86.63,39,25,90,94,"ALM,MTRN,NEXA,TII,BHP,ELVR,SCZM,SKE,RIO,VALE,NVA,CMP,LAR,USAS,GSM,WRN,BMM,VZLA,GRO,NAK,LZM,TMQ,SGML,CHNR,USGO,WWR,MP,USAR,ALOY,CRML,XPL,IONR,ATLX,LAC,NEXM,UAMY,ELBM,NB,NMG,TMC,LGO,SLI,OMEX,FNUC,IPX,FMST,EMAT"
89,Capital Markets,Financial Services,86.49,38,9,41,29,"TOP,MTC,PURR,SLNHP,MRX,HUT,OPY,VIRT,NMR,BMHL,GOLD,SNEX,BGDE,VIP,SIEB,IBKR,BGC,MS,SCHW,XP,GS,HOOD,SLNH,BRR,FIGR,RIOT,LPLA,MKTX,AUC,PJT,SBET,SF,MIAX,BMNR,JEF,HGBL,CLSK,MC,WULF,HIVE,PIPR,IREN,CRCL,MEGL,TW,NAKA,LAZ,MARA,SRL,FUTU,PWP,HLI,COHN,MDBH,EVR,GLXY,PLUT,BTGO,BRBI,ANY,ATCH,WTF,CNCK,ETOR,BTBT,TAOX,BTCS,TIGR,DEFT,STKE,ABTS,AXG,NCTY,MATH,SOS,GEMI,SONM,DOMH,GSIW,GRAN,FUFU,CD,NCPL,ARBK,IPST,AURE,FLD,ABTC,STEX,CANG,PMAX,PWCM,LGHL"
90,REIT - Mortgage,Real Estate,86.07,37,30,27,46,"CHMI,NREF,ADAM,ADAMN,ADAML,ADAMM,NLY,AGNCM,AGNC,AGNCP,AGNCO,AGNCN,EFC,AGNCL,DX,AGNCZ,ARR,ORC,AOMR,ARI,RITM,KREF,ADAMZ,IVR,MFA,REFI,LADR,ACRE,LOAN,STWD,TRTX,MITT,SACH,CIM,SEVN,PMT,RPT,FBRT,SUNS,BRSP,RC,BXMT,ABR,RWT,ACR,GPMT,CMTG,LFT"
91,Apparel Retail,Consumer Cyclical,86.04,37,80,61,64,"LVLU,TLYS,ANF,VSXY,CURV,JILL,CTRN,DLTH,ROST,AKA,GCO,URBN,CAL,GAP,CRI,DXLG,BKE,TJX,BRIA,BURL,BOOT,ZUMZ,AEO,LE,CATO,SHOE,LULU,SFIX,RENT,MYSZ,JEM,DBGI"
92,Building Products & Equipment,Industrials,85.83,35,31,60,30,"CSTE,NX,GFF,AIRJ,JCI,OC,APT,PPIH,TT,UUU,TREX,NPKI,MAS,SWIM,APOG,ROCK,CSL,AWI,JELD,ARLO,CARR,WMS,SPXC,JLHL,FBIN,ILAG,LPX,AAON,JBI,LII,INVE,BGMS,BLDR,LMB,KSCP,AEHL"
93,Auto Parts,Consumer Cyclical,85.83,35,28,76,55,"HYLN,GTX,PRTS,GTEC,MLR,ALSN,AUR,BWA,CVGI,CAAS,GPC,MGA,DAN,XPEL,THRM,DCH,LEA,PLOW,FOXF,SRI,ALV,SMP,DORM,PHIN,MKDW,STRT,GNTX,VC,WPRT,MOD,ATMU,ORLY,ADNT,HLLY,LKQ,AZO,HSAI,MPAA,MBLY,INEO,AAP,GT,MNRO,CPS,ECX,SYPR,SLDP,QS,APTV,SES,FRSX,WKSP,INVZ,MVST"
94,Department Stores,Consumer Cyclical,85.4,34,81,80,65,"DDS,KSS,M,PLBL"
95,Financial Data & Stock Exchanges,Financial Services,85.18,34,21,12,22,"MKTW,CBOE,VALU,TRU,NDAQ,FDS,ICE,CME,MCO,MORN,MSCI,SPGI,COIN,DTCX,SGRX"
96,Textile Manufacturing,Consumer Cyclical,85.15,33,94,34,0,"UFI,CULP,AIN,PASW,SMJF"
97,Specialty Industrial Machinery,Industrials,84.95,32,48,73,78,"PKOH,TWIN,CVV,BWEN,JCSE,HURC,GRC,LXFR,GEV,NDSN,WTS,IEX,GHM,NPO,AME,ETN,ITT,EMR,TAYD,PH,CSW,ROK,BW,SXI,ITW,KRNT,GTES,DCI,HLIO,CMI,CR,FLS,FELE,KAI,GGG,EPAC,IR,DOV,MWA,NPWR,CETY,MIDD,TNC,RRX,AOS,XYL,GNRC,OTIS,OFLX,JBTM,SYM,MIR,GFUZ,AMSC,SMR,SHMD,PSIX,ATS,WFF,PNR,NNE,RR,SPPL,HUHU,OPTT,GCDT,LASE,HDRN,LBGJ,INLF"
98,Uranium,Energy,84.91,32,12,49,86,"UROY,ISOU,DNN,NXE,CCJ,UEC,UUUU,URG,AEC,LEU,NUCL,JAGU,EU"
99,REIT - Office,Real Estate,84.9,31,41,43,8,"PSTL,HIW,PDM,CDP,SLG,DEA,CUZ,ONL,BXP,NLOP,VNO,HPP,KRC,BDN,ARE,DEI,FISK,OGCP,ESBA,FSP,CMCT"
100,Electronic Gaming & Multimedia,Communication Services,84.89,30,41,82,13,"DKI,FIRY,MSGM,DDI,GRVY,CTW,TTWO,GAME,SOHU,NTES,GIGM,GDEV,GCL,MYPS,RBLX,GMHS,PLTK,SNAL,GXAI,TRUG,GDC"
101,Waste Management,Industrials,84.3,30,18,7,66,"ENGS,PESI,NVRI,CLH,AWX,RSG,GFL,GWAV,CWST,WM,WCN,AREC,QRHC,ONT,ABAT,LNZA,AQMS,DXST,YDDL,OIO,CDTG"
102,Auto & Truck Dealerships,Consumer Cyclical,83.67,28,11,13,2,"UCAR,PAG,KMX,RUSHB,LAD,RUSHA,OPLN,ACVA,SAH,AN,CVNA,ABG,RDNW,NXB,DRVN,VVV,GPI,CWH,BGSI,JZXN,SDA,UXIN,AZI,CRMT,KXIN"
103,Farm Products,Consumer Defensive,83.67,28,19,19,48,"ADM,AGRO,BG,AFRI,PFAI,VFF,AQB,ALCO,CHSCN,CHSCL,CHSCO,CHSCM,LND,DOLE,DMC,LMNR,CHSCP,TSN,TULP,CALM,LOCL,VITL,AGRZ,SDOT,EDBL"
104,Confectioners,Consumer Defensive,83.56,27,18,6,69,"MDLZ,SOWG,TR,HSY,RMCF"
105,Luxury Goods,Consumer Cyclical,83.38,27,60,85,71,"MOV,SIG,ELA,BRLT,REAL,LUXE,TPR,SORA,CPRI,LANV"
106,Advertising Agencies,Communication Services,83.3,26,24,24,6,"TJGC,EVC,MGNI,STGW,ZD,QNST,FLNT,WPP,DV,CCO,MF,CNET,NEXN,ADV,OMC,CRTO,MCHX,TSQ,SWAG,DLPN,KRKR,IZEA,YDKG,STFS,ACCS,NCMI,EDHL,CDLX,VSME,APP,TTD,CHR,WIMI,DRCT,TC,TDIC,BAOS,HAO"
107,REIT - Diversified,Real Estate,82.82,25,23,25,31,"NXDT,FVR,CTO,GOOD,BNL,GNL,OLP,AAT,WPC,AHRT,GOODN,SAFE,SQFTP,VICI,ESRT,JBGS,MKZR,SQFT,GIPR"
108,Information Technology Services,Technology,82.75,25,23,28,17,"SAIH,CHRN,QXL,PENG,SHAZ,WYY,SAIC,IBEX,KEEL,CACI,III,INGM,TASK,GDYN,JKHY,CLPS,CDW,EXLS,FORTY,EFOR,CNDT,VYX,CIFR,DXC,CTSH,IT,BR,G,EPAM,GIB,ACN,APLD,TTGT,IBM,GDS,WYFI,GLE,LDOS,ARBB,CNXC,NABL,KD,JFU,INOD,INFY,GLOB,FIS,HCKT,CSPI,UIS,TSSI,PSN,DTST,CTM,CLVT,VNET,WIT,DAIC,AIOS,BBAI,PONY,TTEC,VRRM,CYCU,TDTH,LZMH,GMM,VEEA,HKIT,JZ"
109,Airlines,Industrials,82.53,24,55,69,38,"DAL,ULCC,CPA,UAL,LTM,LUV,SKYW,ALGT,AAL,RJET,JBLU,VLRS,AERO,RYAAY,ALK,FLYX,SRFM"
110,Resorts & Casinos,Consumer Cyclical,82.35,23,55,58,44,"VAC,MCRI,CZR,CPHC,MGM,MTN,PENN,RRR,BYD,HGV,WYNN,LVS,MLCO,CNTY,FLL,BALY,MSC"
111,Engineering & Construction,Industrials,82.22,23,33,83,77,"MAGH,PHOE,FIX,BWMN,ACA,IESC,BBCP,TPC,SKK,CDLR,FLR,PWR,TTEK,SHIM,STRL,ECG,VATE,J,EXPO,MYRG,EME,LGN,AGX,CDNL,ESOA,GVA,APG,KBR,FER,MTZ,ROAD,OPAL,WLDN,MTRX,ORN,PMA,STN,DY,KAZR,AMRC,ACM,BLNK,PRIM,FBGL,ONEG,MGN,SLND,ZDAI,MSGY,MIMI,OFAL,RITR,FGL"
112,Residential Construction,Consumer Cyclical,81.96,22,47,40,33,"BZH,LEGH,SKY,MHO,GRBK,HOV,LGIH,TOL,CVCO,PHM,DHI,MTH,NVR,IBP,KBH,LEN,DFH,SPHL,BXBL"
113,Gambling,Consumer Cyclical,81.95,21,17,53,24,"ROLR,MRDN,RSI,SGHC,CDRO,ACEL,CHDN,BRSL,DKNG,BRAG,FLUT,INSE,GRSD,SEGG"
114,Specialty Retail,Consumer Cyclical,81.91,20,34,34,26,"HZO,FIVE,BBY,CHPT,NAAS,TLF,BNED,WSM,GRWG,MUSA,SBH,ASO,BWMX,ULTA,BOBS,ARHS,ABLV,SVV,ONEW,PTLE,CASY,BBWI,GME,RECT,RH,TSCO,SPWH,WOOF,EYE,BARK,HTLM,ARKO,WINA,FLWS,JBDI,TKLF,BBW,DKS,MNSO,EVGO,BQ,CGTL,LESL"
115,Real Estate Services,Real Estate,81.77,20,29,20,27,"OPAD,RFL,CHCI,RMR,COMP,SEG,STHO,JLL,BPYPP,IHS,BPYPO,MMI,PETZ,BPYPN,LRHC,IRS,MDRR,ARL,BEKE,HBNB,GBR,MAYS,CBRE,TCI,FRPH,MLP,CWK,NMRK,FSV,NEN,FTHM,ASPS,DOUG,LHAI,CIGI,REAX,NYC,EUDA,CSGP,GYRO,SRG,AGNT,OPEN,UK,DUO,AIRE,CHGA,OMH"
116,Beverages - Non-Alcoholic,Consumer Defensive,81.73,19,22,23,54,"KO,KOF,COKE,MNST,KDP,CCEP,BUDA,PRMB,PEP,FIZZ,COCO,ZVIA,CELH,BNKK,BRFH,REED"
117,Leisure,Consumer Cyclical,81.36,18,30,36,51,"AOUT,LTH,FNKO,ESCA,JAKK,CALY,CLAR,HAS,JOUT,OSW,GOLF,NWTG,PRKS,YETI,PTON,MAT,TRON,AS,PUSA,PLNT,FUN,KBSX,MMA,LUCK,KMRK,XPOF,HERE,GDHG,DOGZ,NOMA"
