Rank,Industry,Sector,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Tickers
42,Computer Hardware,Technology,95.88,71,85,92,67,"DELL,QMCO,STX,WDC,CRSR,UMAC,HPQ,DDD,P,ANET,VELO,CRCT,TACT,SMCI,YIBO,IQMX,OSS,NNDM,LOGI,ICG,DPRO,UAVS,SSYS,BTCT,EBON,QBTS,IONQ,QTEX,RGTI,PSQL,KTCC,QUBT,CAN,BGIN,BRAI,AGMH,SCKT,MCRP,AMCI,QCLS,VTIX"
43,Insurance Brokers,Financial Services,95.85,70,27,4,0,"XHG,LIFE,ARX,BWIN,NP,TWFG,GSHD,WTW,CRVL,AJG,MRSH,RYAN,BRO,ERIE,AON,HUIZ,TREE,SLQT,EHTH,EZRA,AIFU,ZBAO"
44,Medical Instruments & Supplies,Healthcare,95.68,69,65,26,23,"PLSE,ATRC,SMTI,AVTR,BLFS,HBIO,MMED,ANGO,RGEN,PDEX,WST,BAX,AZTA,BDX,MMSI,SOLV,MLSS,KMTS,NEPH,ICUI,STVN,NVST,BLCO,UTMD,TFX,ATR,DXR,RMD,OSUR,WRBY,RVP,XRAY,ALGN,STAA,ALC,POCI,EMBC,CUPR,LMAT,MDLN,BNGO,ISRG,COO,LUCY,KRMD,ZJYL,RGNT,STXS,FEMY,NXGL,NNNN"
45,Specialty Business Services,Industrials,95.67,69,61,48,51,"BUUU,TH,TISI,QUAD,CBZ,FA,ARMK,GPN,CASS,UNF,SST,CMPR,ABM,KODK,TRNS,RHLD,EBF,NTIP,AZZ,WFCF,PC,CTAS,DLB,TIC,TRI,RELX,SPIR,YSXT,BKSY,BV,CPRT,ULS,LZ,SFHG,MMS,AMTM,RTO,RBA,CRE,DLHC,SMX,PMEC,LICN,ANPA,THH"
46,Insurance - Life,Financial Services,95.48,68,54,54,49,"JXN,CNO,MFC,MET,GNW,UNM,LNC,PRU,GL,ABX,PRI,AFL,SNFCA,PUK,BHFAN,BHFAO,BHFAP,BHFAM,BHF,FG,CIA,AAME"
47,Farm & Heavy Construction Machinery,Industrials,95.03,67,49,33,32,"MTW,BNC,WNC,CNH,DE,GENC,CAT,CMCO,ARTW,PCAR,AGCO,OSK,TEX,BLBD,XOS,HY,FSS,ALG,LNN,AEBI,TWI,ASTE,HYFM,GP,SCAG,HCAI"
48,Packaging & Containers,Consumer Cyclical,94.95,67,69,42,32,"KRT,MYE,GEF,AMBP,CCK,BALL,PKG,AMCR,SW,SON,AVY,TRS,DSS,MGIH,SLGN,REYN,IP,PACK,GPK,ORBS,YHGJ,OI"
49,Specialty Chemicals,Basic Materials,94.34,66,62,81,74,"CLMT,SSL,MNTK,ALTO,KRO,KOP,FF,MATV,SCL,ODC,SXT,ASH,AVNT,IFF,IOSP,NEU,SQM,KWR,LYB,AXTA,CMT,PRM,APD,ACNT,ESI,AMTX,NGVT,CBT,BCPC,ASPN,DD,ECL,EMN,MTX,SOLS,NTIC,ALB,LIN,PPG,SHW,LWLG,WDFC,ECVT,RPM,OEC,GEVO,CC,FUL,FSI,WLK,HDSN,HWKN,BON,CITR,FEAM,YMAT,CNEY,ASPI,BGLC,LOOP,SNES"
50,Tools & Accessories,Industrials,94.17,65,70,66,72,"EML,SWK,TKR,TTC,SNA,LECO,KMT,RBC,CVR,ZJK,HLMN"
51,Industrial Distribution,Industrials,94.15,65,63,55,44,"XMTR,DXPE,TLIH,BXC,DSGR,TITN,MSM,WCC,GIC,DNOW,GWW,AIT,FAST,FERG,ALTG,WSO,CNM,REZI,POOL,EVI,SITE,WXM,QXO,WATR"
52,Rental & Leasing Services,Industrials,93.86,64,73,83,37,"VSTS,VAI,CTOS,UHAL,R,PRG,URI,HRI,AER,GATX,WLFC,MGRC,SUNB,CAR,WSC,EQPT,MWG,HTZ"
53,Asset Management,Financial Services,93.82,63,50,44,53,"CYPH,IGR,MAAS,WT,ASST,AAMI,TWN,VCTR,KF,STT,AEF,BEN,BSTZ,NTRS,HQL,STK,IVZ,PEO,SEIC,HQH,PFG,AMG,SII,BTX,CRBG,BST,EMF,BGR,GNT,TRIN,AMP,EQH,IHD,JOF,HFRO,NFJ,BCX,BMEZ,EMO,DFDV,IAE,EVT,NML,FUND,KYN,RMT,THW,BME,ADX,EDD,NMAI,GCMG,AOD,HASI,GAIN,GGN,SRV,CNS,SATA,NXG,WHG,ASA,CSWC,CHI,IGA,RJF,HTGC,CSQ,FHI,CGO,IGD,BHV,CHW,THQ,TEI,FGNXP,EDF,DBRG,BDJ,CCD,AIO,JCE,GCV,SPXX,PDX,ETO,CHY,RCG,GUT,CET,NCZ,CII,ETW,GAM,ETV,QQQX,ETG,BANX,FFA,RVI,EOD,GDV,EXG,BTO,NBXG,BOE,CEE,APAM,GGZ,BCAT,BCV,FDUS,ECCC,GRX,GROW,OCSL,TROW,TYG,RVT,GSBD,RGT,MXF,LIEN,BBDC,ETB,IAF,XFLT,NIE,MXE,ECAT,NCV,ASGI,EEA,GGT,AGD,DNP,GLQ,AFCG,ECF,TY,DPG,SCD,BGT,BGY,HEQ,ACV,STEW,MCI,RMCO,ZTR,MEGI,DXYZ,BLK,VPV,TBLD,GLV,ARCC,MIY,USA,RSF,LGI,JFR,OCCIM,OXLC,HERZ,SPMA,OCCIN,PGP,UTF,PDPA,HRZN,OXLCN,GLU,VRTS,JRS,CGBD,IDE,OXLCO,FSK,MSIF,CAF,GLO,STEP,CCID,AVK,EICA,SOR,SPME,HNNA,EOI,PFX,EMD,ERC,CEV,GLAD,HTD,IQI,DMA,FSCO,DTF,FINS,MAIN,GRF,BUI,GDL,FAX,BSL,ETJ,MSD,BXSL,APO,AWP,KIO,FOF,RLTY,WHF,JQC,FRA,FTF,MCN,RFI,HIX,VMO,BGB,AB,MUJ,FFC,GAB,PGZ,RMM,VKQ,RA,DLY,GF,SABA,NRK,NPFD,VGM,PCF,VGI,BRW,SDHY,PFO,TPG,OPP,NCA,ASG,PFD,WIW,EVF,NPCT,IIM,EFR,FTHY,VVR,RFMZ,FMY,RMI,EVG,BLW,DSU,WEA,BGH,RQI,RFM,JGH,UTG,GBDC,EFT,WIA,BTT,AWF,RMMZ,OIA,RNP,DFP,GUG,LDP,NBB,RIV,MUC,SPE,BHK,DBL,IGI,ETY,PIM,PFN,FLC,NAZ,TIPT,EOS,BAM,ARDC,PHK,NRO,PCN,PSF,BGX,HIO,EAD,ACP,PMM,SBI,NMI,PPT,MFM,NUV,DHF,GHY,BX,NXP,ERH,OBDC,NTRSO,HYI,CION,TCPC,JMM,MMT,MGF,NIM,PCQ,MMD,CPZ,DSL,EVN,BTZ,ARES,PAI,HLNE,NMT,VBF,PDO,VKI,IIF,EHI,NEA,ETX,PAXS,NBH,MHD,EOT,OFS,FT,JRI,FPF,EIM,MYI,BWG,JLS,FMN,MPV,BMN,HPI,MSDL,PDT,BKT,RAND,NAC,NUW,DMB,EARN,NKX,TSLX,IFN,JHS,PSBD,BBN,HPF,PFL,KTF,PTY,BIT,LEO,HYT,VCV,TSI,AFB,DMO,TDF,PSEC,WDI,EVV,MHF,RWAY,MMU,TPVG,PNI,KKR,JHI,VINP,MIN,GBAB,VLT,PML,MGLD,NVG,NAD,NMZ,PMO,MYN,MQY,GECC,NNY,EIC,GDO,PTA,NZF,NAN,DSM,CIK,NCDL,KBDC,MPA,CRF,ISD,OWL,HSDT,NDMO,JPC,HPS,DHY,NMCO,CLM,VTN,OTF,NHS,MUA,GEG,OXSQ,HGLB,PCM,ALTI,ECC,PDI,BCSF,RPC,SLRC,NMS,NSLR,NPV,NMFC,FGNX,PFLT,NOAH,MFIC,SPMC,PAX,BN,CG,RCS,SCM,GOF,BPRE,PDCC,KWY,PNNT,CCAP,BCIC,OCCI,SAR,SAMG,TGE,MLCI,CCIF,CFND,AMTD,BUR,BCG,ZSTK,TWAV,EQS,AMBR,SDEV,ICMB,CWD,VCX,BENF,AVAT,INV"
